run,rewards,policy
0,248.37327837157125,"{'1': [0.806702447193494, 0.09105689603018163], '2': [0.006796654641641808, 0.8501065754507041], '3': [0.849996612986301, 0.37522404066050064], '4': [0.0809676964325251, 0.36063638209807625], '5': [0.04394545967943653, 0.6935379751030557]}"
1,155.64351561125238,"{'1': [0.2994224344952031, 0.4921062673964034], '2': [0.8438324509674036, 0.25523028888821164], '3': [0.7012817261623472, 0.7474731197277685], '4': [0.9577439826368576, 0.12126370050844693], '5': [0.105957779131431, 0.1294866883294975]}"
2,224.58680927876722,"{'1': [0.613616323743401, 0.14510814104919834], '2': [0.692276523489613, 0.502444218948862], '3': [0.15549873630383626, 0.9663519052638899], '4': [0.8203410351318412, 0.753548951057795], '5': [0.13430497419024, 0.5659691058859189]}"
3,206.5205090808442,"{'1': [0.6695172113355797, 0.0722180914047813], '2': [0.03886230389014089, 0.27057959394393993], '3': [0.9444285845277293, 0.7654049653533919], '4': [0.015407952934068159, 0.7149378591811043], '5': [0.7132166516831091, 0.31885359825333026]}"
4,219.0867761579724,"{'1': [0.9514311908519509, 0.06274768859544888], '2': [0.05806220621543212, 0.7131414015852718], '3': [0.7254182105874111, 0.36141420523633605], '4': [0.20365619832162507, 0.5884408841612946], '5': [0.8718185678542114, 0.3332186272468779]}"
5,157.09725037230848,"{'1': [0.6200639987296046, 0.11444711839709698], '2': [0.7075121312400533, 0.6216456524749864], '3': [0.2168121461848579, 0.877015149684236], '4': [0.8927622801742573, 0.5202875407562728], '5': [0.1712501420226018, 0.9043120848280713]}"
6,178.9272759879783,"{'1': [0.3064827243922351, 0.5089989977162339], '2': [0.9904196983577738, 0.5620468495852118], '3': [0.20462131164998676, 0.3749440226403419], '4': [0.8891283991817148, 0.6249903244606662], '5': [0.3541609307970104, 0.5057124622523979]}"
7,152.05347430303405,"{'1': [0.2927991125489593, 0.558777885274657], '2': [0.3106593334804303, 0.25434421955691], '3': [0.11814867326371492, 0.80893508849493], '4': [0.7609384199582864, 0.8036348225915552], '5': [0.24833244331595594, 0.8629270858395909]}"
8,169.38659085033086,"{'1': [0.6305441693705062, 0.0597169333856441], '2': [0.6998128170282949, 0.5705875729863337], '3': [0.0901922775352687, 0.06387642755911505], '4': [0.1633881140551957, 0.8959462267597779], '5': [0.8375678215518976, 0.04134689484036114]}"
9,129.75267441624771,"{'1': [0.2038113912035453, 0.5640036309252685], '2': [0.544219547336672, 0.822854697514404], '3': [0.18850944832316385, 0.8686671285784388], '4': [0.9510197922482178, 0.3017868719890585], '5': [0.5568060922513463, 0.8374592811839802]}"
